customer_id,age,gender,region,registration_year,account_age_years,prime_status,membership_tier,total_orders,total_spend_usd,avg_order_value,return_rate_pct,num_returns,top_category,unique_categories_browsed,avg_review_score,num_reviews_written,wishlist_items,avg_daily_browsing_min,preferred_device,preferred_payment,discount_usage_rate_pct,coupon_redemptions,subscription_services,last_purchase_days_ago,customer_lifetime_value,churn_risk_score,satisfaction_rating,customer_segment_label
AMZ-100000,70,Non-Binary,Europe,2022,3,Prime,Gold,11,657.58,59.78,81.82,9,Clothing,4,2.9,39,94,110,Mobile,Net Banking,56.65,21,4,343,931.28,0.2123,Neutral,Bargain Hunter
AMZ-100001,44,Non-Binary,Southeast Asia,2015,10,Prime,Silver,3,18.34,6.11,33.33,1,Books,3,1.6,43,0,11,Desktop,Debit Card,41.14,2,4,646,19.9,0.0651,Dissatisfied,Inactive User
AMZ-100002,19,Male,Middle East,2019,6,Prime,Diamond,3,94.22,31.41,33.33,1,Home & Kitchen,4,2.1,27,1,8,Smart TV,UPI,35.21,6,3,508,133.47,0.1734,Neutral,Inactive User
AMZ-100003,71,Male,Latin America,2018,7,Prime,Platinum,1,192.33,192.33,100.0,1,Sports,2,3.3,25,10,15,Desktop,Debit Card,35.98,9,3,269,262.27,0.3265,Neutral,Occasional Buyer
AMZ-100004,64,Male,Southeast Asia,2016,9,Prime,Platinum,14,157.79,11.27,21.43,3,Beauty,5,2.1,23,16,30,Alexa,Amazon Pay,28.54,28,4,64,159.02,0.4234,Neutral,Occasional Buyer
AMZ-100005,52,Female,Middle East,2017,8,Prime,Diamond,5,239.1,47.82,80.0,4,Books,1,2.5,4,27,170,Alexa,Amazon Pay,74.1,27,0,32,246.7,0.311,Dissatisfied,Bargain Hunter
AMZ-100006,54,Non-Binary,South Asia,2017,8,Non-Prime,Silver,4,72.96,18.24,0.0,0,Electronics,3,2.3,0,0,2,Desktop,Cash on Delivery,57.74,13,2,392,98.88,0.1109,Very Dissatisfied,Inactive User
AMZ-100007,40,Male,East Asia,2019,6,Prime,Diamond,12,109.34,9.11,16.67,2,Sports,7,2.1,44,4,58,Smart TV,Net Banking,43.19,28,3,524,113.55,0.2898,Neutral,Occasional Buyer
AMZ-100008,47,Female,Europe,2018,7,Prime,Platinum,6,534.26,89.04,16.67,1,Books,7,3.2,27,12,15,Alexa,Net Banking,28.5,32,0,376,707.28,0.0005,Neutral,Occasional Buyer
AMZ-100009,68,Male,Southeast Asia,2015,10,Prime,Platinum,32,4415.07,137.97,6.25,2,Grocery,8,3.5,14,46,68,Desktop,Net Banking,13.46,31,0,691,5217.8,0.9718,Very Satisfied,Loyal Shopper
